,iso_code,gdp_per_capita,population,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,cases_per_capita
7307,BEL,42658.575999999994,11589616.0,754473.0,2094.0,16.0,329.0,1619.0,17000.0,2136.0,60.19,15.361207094223385
7308,BEL,42658.575999999994,11589616.0,755594.0,1121.0,20.0,348.0,1721.0,40375.0,12415.0,60.19,15.338417192301685
7309,BEL,42658.575999999994,11589616.0,757696.0,2102.0,33.0,353.0,1711.0,54887.0,19519.0,60.19,15.295865360250021
7310,BEL,42658.575999999994,11589616.0,760809.0,3113.0,32.0,362.0,1749.0,49019.0,22133.0,60.19,15.233279311890369
7311,BEL,42658.575999999994,11589616.0,763885.0,3076.0,18.0,369.0,1759.0,41520.0,30853.0,60.19,15.171938184412575
7312,BEL,42658.575999999994,11589616.0,766654.0,2769.0,28.0,393.0,1838.0,47303.0,30754.0,60.19,15.117140196229329
7313,BEL,42658.575999999994,11589616.0,769414.0,2760.0,18.0,401.0,1834.0,37686.0,4272.0,60.19,15.062912814167666
7314,BEL,42658.575999999994,11589616.0,771511.0,2097.0,25.0,407.0,1895.0,15566.0,820.0,60.19,15.021971170858224
7315,BEL,42658.575999999994,11589616.0,772294.0,783.0,29.0,413.0,1936.0,43311.0,13162.0,60.19,15.006740956164363
7316,BEL,42658.575999999994,11589616.0,774344.0,2050.0,35.0,426.0,1901.0,57599.0,22640.0,60.19,14.967012077319641
7317,BEL,42658.575999999994,11589616.0,777608.0,3264.0,28.0,434.0,1899.0,51024.0,28017.0,60.19,14.904188228516167
7318,BEL,42658.575999999994,11589616.0,780251.0,2643.0,27.0,426.0,1904.0,46738.0,45175.0,60.19,14.853702206084964
7319,BEL,42658.575999999994,11589616.0,783010.0,2759.0,19.0,433.0,1914.0,52288.0,40157.0,60.19,14.801363967254568
7320,BEL,42658.575999999994,11589616.0,785809.0,2799.0,25.0,416.0,1879.0,38984.0,8102.0,56.48,14.748642481824463
7321,BEL,42658.575999999994,11589616.0,787891.0,2082.0,21.0,425.0,1937.0,17011.0,1465.0,56.48,14.709669230896152
10611,BGR,18563.307,6948445.0,201220.0,1729.0,110.0,474.0,5023.0,8076.0,2889.0,53.7,34.531582347679155
10618,BGR,18563.307,6948445.0,206392.0,1002.0,59.0,393.0,4286.0,11436.0,2465.0,53.7,33.66625159889918
10619,BGR,18563.307,6948445.0,207259.0,867.0,56.0,379.0,4262.0,10086.0,3204.0,53.7,33.525419885264334
10620,BGR,18563.307,6948445.0,208012.0,753.0,61.0,377.0,4250.0,9908.0,2238.0,53.7,33.40405841970656
